,id,name,artist,album,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
20,30OUdyx12ih1cOpOCnehlf,It's A Hit,We Are Scientists,With Love And Squalor,0.382,0.937,1,-4.137,0,0.0463,7.95e-05,2.03e-06,0.163,0.491,159.994,audio_features,spotify:track:30OUdyx12ih1cOpOCnehlf,https://api.spotify.com/v1/tracks/30OUdyx12ih1cOpOCnehlf,https://api.spotify.com/v1/audio-analysis/30OUdyx12ih1cOpOCnehlf,206811,4
21,70VyfyHG2QlfvfK8ItBY0m,Eure Mädchen,Kraftklub,Mit K,0.479,0.938,9,-3.16,0,0.109,0.00927,0.0,0.0593,0.627,163.011,audio_features,spotify:track:70VyfyHG2QlfvfK8ItBY0m,https://api.spotify.com/v1/tracks/70VyfyHG2QlfvfK8ItBY0m,https://api.spotify.com/v1/audio-analysis/70VyfyHG2QlfvfK8ItBY0m,174267,4
22,2OOlzGqWeN8652uahlVjE8,Speed the Collapse,Metric,Synthetica,0.47,0.914,4,-4.793,0,0.0351,0.0115,0.0417,0.0906,0.593,94.983,audio_features,spotify:track:2OOlzGqWeN8652uahlVjE8,https://api.spotify.com/v1/tracks/2OOlzGqWeN8652uahlVjE8,https://api.spotify.com/v1/audio-analysis/2OOlzGqWeN8652uahlVjE8,222747,4
23,0NNgY2gc1TUwBQoVp98Fxw,Venus As A Boy,Björk,Debut,0.619,0.401,1,-11.746,1,0.0339,0.0297,0.00355,0.0701,0.815,136.21,audio_features,spotify:track:0NNgY2gc1TUwBQoVp98Fxw,https://api.spotify.com/v1/tracks/0NNgY2gc1TUwBQoVp98Fxw,https://api.spotify.com/v1/audio-analysis/0NNgY2gc1TUwBQoVp98Fxw,282560,4
24,7lksFyVBmmkYBTVQcxnvC3,What I Got,Sublime,Sublime (Deluxe Edition),0.79,0.687,7,-7.571,1,0.101,0.0149,0.000319,0.323,0.628,95.578,audio_features,spotify:track:7lksFyVBmmkYBTVQcxnvC3,https://api.spotify.com/v1/tracks/7lksFyVBmmkYBTVQcxnvC3,https://api.spotify.com/v1/audio-analysis/7lksFyVBmmkYBTVQcxnvC3,171080,4
25,5sFDReWLrZHLFZFjHsjUTS,Would?,Alice In Chains,Dirt,0.305,0.833,6,-7.981,1,0.0398,0.000327,2.36e-05,0.091,0.586,100.675,audio_features,spotify:track:5sFDReWLrZHLFZFjHsjUTS,https://api.spotify.com/v1/tracks/5sFDReWLrZHLFZFjHsjUTS,https://api.spotify.com/v1/audio-analysis/5sFDReWLrZHLFZFjHsjUTS,206773,4
26,76g4Ybt7SW4PvloFDIzsSX,Charlotte,Kittie,Spit,0.477,0.929,5,-5.623,1,0.0581,0.000549,0.666,0.0897,0.363,153.98,audio_features,spotify:track:76g4Ybt7SW4PvloFDIzsSX,https://api.spotify.com/v1/tracks/76g4Ybt7SW4PvloFDIzsSX,https://api.spotify.com/v1/audio-analysis/76g4Ybt7SW4PvloFDIzsSX,239067,4
27,7z0QpqJXeGjNws0ylRmsEg,Pass The Dutchie,Musical Youth,The Wedding Singer (Music From The Motion Picture),0.773,0.623,0,-7.692,1,0.0666,0.321,0.0,0.31,0.958,75.165,audio_features,spotify:track:7z0QpqJXeGjNws0ylRmsEg,https://api.spotify.com/v1/tracks/7z0QpqJXeGjNws0ylRmsEg,https://api.spotify.com/v1/audio-analysis/7z0QpqJXeGjNws0ylRmsEg,203533,4
28,2AZe0ej4oy1qIjbjfwhphQ,Falling,HAIM,Days Are Gone,0.743,0.899,2,-5.675,1,0.0688,0.0792,7.75e-05,0.0838,0.265,111.98,audio_features,spotify:track:2AZe0ej4oy1qIjbjfwhphQ,https://api.spotify.com/v1/tracks/2AZe0ej4oy1qIjbjfwhphQ,https://api.spotify.com/v1/audio-analysis/2AZe0ej4oy1qIjbjfwhphQ,257813,4
29,0Dm43YLUlGdePpSbI1ct8h,Part-Time Lover,Stevie Wonder,In Square Circle,0.662,0.624,10,-13.606,0,0.0417,0.165,0.0,0.0674,0.961,174.513,audio_features,spotify:track:0Dm43YLUlGdePpSbI1ct8h,https://api.spotify.com/v1/tracks/0Dm43YLUlGdePpSbI1ct8h,https://api.spotify.com/v1/audio-analysis/0Dm43YLUlGdePpSbI1ct8h,252560,4
